"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
2023,"AK","Alaska","Physical Activity","Aerobic Activity","Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","1,528",63.9,61.1,66.8,"3,610","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC01",2,"SEX2","CAT2","_PAINDX3","RESP046","    (64.84507995700051, -147.72205903599973)"
2023,"AK","Alaska","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","717",31.4,28.7,34,"3,666","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC45",2,"SEX2","CAT2","_PASTAE3","RESP046","    (64.84507995700051, -147.72205903599973)"
2023,"AK","Alaska","Physical Activity","Strength Activity","Participated in muscle strengthening exercises two or more times per week (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","1,039",40.4,37.8,43.1,"3,722","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC56",2,"SEX2","CAT2","_PASTRNG","RESP046","    (64.84507995700051, -147.72205903599973)"
2023,"AK","Alaska","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","2,129",78.8,76.6,81,"4,414","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC23",2,"SEX2","CAT2","_TOTINDA","RESP046","    (64.84507995700051, -147.72205903599973)"
2023,"AL","Alabama","Physical Activity","Aerobic Activity","Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","1,158",53.2,50.4,56.1,"3,610","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC01",1,"SEX2","CAT2","_PAINDX3","RESP046","    (32.84057112200048, -86.63186076199969)"
2023,"AL","Alabama","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","464",21.7,19.3,24.1,"3,666","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC45",1,"SEX2","CAT2","_PASTAE3","RESP046","    (32.84057112200048, -86.63186076199969)"
2023,"AL","Alabama","Physical Activity","Strength Activity","Participated in muscle strengthening exercises two or more times per week (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","755",29.5,27.1,31.9,"3,722","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC56",1,"SEX2","CAT2","_PASTRNG","RESP046","    (32.84057112200048, -86.63186076199969)"
2023,"AL","Alabama","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","1,699",67.2,64.6,69.7,"4,414","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC23",1,"SEX2","CAT2","_TOTINDA","RESP046","    (32.84057112200048, -86.63186076199969)"
2023,"AR","Arkansas","Physical Activity","Aerobic Activity","Participated in 150 minutes or more of Aerobic Physical Activity per week (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","1,279",49.5,46.9,52.2,"3,610","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC01",5,"SEX2","CAT2","_PAINDX3","RESP046","    (34.74865012400045, -92.27449074299966)"
2023,"AR","Arkansas","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","598",23.5,21.3,25.8,"3,666","%","Crude Prevalence","","","BRFSS","CLASS15","TOPIC45",5,"SEX2","CAT2","_PASTAE3","RESP046","    (34.74865012400045, -92.27449074299966)"
